,Year,AverageTemperature,n_records
105,1852,30032.085000000017,1897
106,1853,32013.244000000006,1997
107,1854,32329.19800000001,2005
108,1855,33471.52400000001,2074
109,1856,38177.241,2261
110,1857,38747.223000000005,2314
111,1858,40551.19899999998,2374
112,1859,44040.591,2490
113,1860,41392.82999999999,2419
114,1861,41829.390000000014,2432
115,1862,33804.68200000001,2111
116,1863,34807.391000000025,2119
117,1864,39345.70099999999,2352
118,1865,35956.52499999999,2169
119,1866,34955.53600000003,2136
120,1867,35675.204000000005,2169
121,1868,38023.23300000003,2245
122,1869,38297.421000000024,2250
123,1870,37298.68099999999,2246
124,1871,35047.493999999984,2171
125,1872,36018.15800000001,2157
126,1873,40162.62099999999,2328
127,1874,42075.12399999998,2426
128,1875,45452.21899999999,2616
129,1876,47239.686,2660
130,1877,47645.31100000002,2646
131,1878,48643.58,2652
132,1879,42937.998,2472
133,1880,47051.93600000002,2653
134,1881,46185.48500000003,2604
135,1882,46885.950000000004,2632
136,1883,49052.25299999998,2727
137,1884,47969.429999999986,2699
138,1885,46454.943999999974,2628
139,1886,49070.862,2736
140,1887,48668.454000000005,2732
141,1888,47198.51400000002,2664
142,1889,49610.15899999999,2735
143,1890,50604.70500000003,2802
144,1891,51520.047999999995,2832
145,1892,51585.874000000025,2832
146,1893,51359.396,2832
147,1894,51653.55500000001,2831
148,1895,52105.64,2855
149,1896,52382.216000000015,2856
150,1897,52550.581000000035,2844
151,1898,52224.758,2842
152,1899,52412.615000000005,2842
153,1900,52470.194,2834
154,1901,52551.97100000001,2842
155,1902,52216.50399999994,2849
156,1903,53092.13999999998,2880
157,1904,52447.89599999999,2880
158,1905,52990.58500000003,2880
159,1906,53226.48699999998,2880
160,1907,52162.460999999996,2876
161,1908,52605.004999999976,2876
162,1909,52831.08800000002,2880
163,1910,52934.634000000035,2880
164,1911,53015.62299999998,2880
165,1912,53178.453999999976,2880
166,1913,53255.48999999999,2880
167,1914,53742.53500000001,2880
168,1915,53888.37099999999,2880
169,1916,53429.407000000014,2880
170,1917,52538.55599999996,2880
171,1918,52973.97199999999,2880
172,1919,53371.76099999999,2880
173,1920,53298.90100000002,2876
174,1921,53563.93000000001,2879
175,1922,53291.96099999999,2880
176,1923,53468.40799999997,2880
177,1924,53630.954000000005,2880
178,1925,53536.070000000014,2880
179,1926,54339.645000000026,2880
180,1927,53968.844,2880
181,1928,53966.762,2880
182,1929,53239.16,2880
183,1930,54247.58900000002,2879
184,1931,54015.55200000002,2880
185,1932,53988.71799999996,2880
186,1933,53447.97300000001,2880
187,1934,54198.21200000001,2880
188,1935,53920.25500000002,2880
189,1936,54174.584000000046,2880
190,1937,54598.887,2880
191,1938,54355.522,2880
192,1939,54177.20399999999,2880
193,1940,53864.537,2880
194,1941,54378.56299999995,2880
195,1942,54036.319,2880
196,1943,54193.08500000003,2880
197,1944,54309.412,2880
198,1945,54162.91400000001,2880
199,1946,54502.31300000002,2880
200,1947,54838.04499999999,2880
201,1948,54473.69999999997,2900
202,1949,54369.403999999995,2900
203,1950,53976.37800000001,2902
204,1951,54522.94600000001,2904
205,1952,54611.72799999998,2904
206,1953,54756.780000000006,2904
207,1954,53957.25300000001,2904
208,1955,54180.75699999998,2904
209,1956,53107.15299999996,2904
210,1957,54477.92200000001,2904
211,1958,55008.070999999996,2904
212,1959,54668.39800000001,2904
213,1960,54847.88599999997,2904
214,1961,54954.034000000014,2904
215,1962,54286.93300000001,2904
216,1963,54232.920000000035,2904
217,1964,53960.02199999995,2904
218,1965,53774.93800000002,2904
219,1966,54787.69900000001,2904
220,1967,54113.679,2904
221,1968,54031.29799999999,2904
222,1969,54512.51100000001,2904
223,1970,54578.12800000001,2904
224,1971,53980.15200000002,2904
225,1972,54204.93599999998,2904
226,1973,54808.044,2904
227,1974,54105.72300000002,2904
228,1975,54440.30599999999,2904
229,1976,53672.29899999996,2904
230,1977,54950.24500000002,2904
231,1978,54390.51800000003,2904
232,1979,54913.31600000002,2904
233,1980,54750.045,2904
234,1981,54932.460000000036,2904
235,1982,54746.69800000005,2904
236,1983,55449.10399999999,2904
237,1984,54493.446,2904
238,1985,54302.27600000002,2904
239,1986,54598.54499999998,2904
240,1987,55324.23400000001,2904
241,1988,55500.31499999999,2904
242,1989,55340.85100000001,2904
243,1990,56098.561,2904
244,1991,55208.98899999999,2904
245,1992,55094.70899999995,2904
246,1993,54975.04199999999,2904
247,1994,55906.94199999999,2904
248,1995,55951.56999999999,2904
249,1996,55055.12000000001,2904
250,1997,55903.01899999998,2904
251,1998,56909.05799999998,2904
252,1999,56314.657,2904
253,2000,56190.08300000002,2904
254,2001,56411.080999999984,2904
255,2002,56818.279999999984,2904
256,2003,56700.852000000006,2904
257,2004,56401.75500000005,2904
258,2005,56626.80999999996,2904
259,2006,56741.64800000001,2904
260,2007,56948.58499999997,2904
261,2008,56407.184999999976,2904
262,2009,56762.702999999994,2904
263,2010,57004.95699999999,2904
264,2011,56500.34099999997,2904
265,2012,56537.23299999998,2904
266,2013,38899.302999999985,1957
